config,image,keyIdx,entropy,rH,rV,rD,r_avg,npcr,uaci
FullHierarchy,Mountain_512,9,7.999278336279018,-0.003538561103920507,0.005150753665941726,0.008892643204092087,0.005860652657984774,99.61280822753906,33.53489744896982
FullHierarchy,Mountain_512,10,7.999284801154921,0.0017054175786553223,-0.002691313587266722,0.006664172670403634,0.003686967945441893,99.61433410644531,33.443000145207826
PixelOnly,Bell_pepper_512,1,7.999306264326376,0.0030909306199369533,0.0024623653200005987,-0.005809946554930779,0.0037877474982894437,99.60212707519531,33.442687489628014
PixelOnly,Bell_pepper_512,2,7.99929161666184,-0.006464241374707872,0.0036256332683752175,0.007102624608984545,0.005730833084022544,99.60009256998698,33.473874260397515
PixelOnly,Bell_pepper_512,3,7.99932906499367,0.007588575751297869,0.004391471162659404,-0.00380855767008648,0.005262868194681251,99.59780375162761,33.437478557910794
PixelOnly,Bell_pepper_512,4,7.999274846960212,0.0016484390749148157,-0.0066664628377984024,0.0007842005953619443,0.0030330341693583875,99.60797627766927,33.46372317644506
PixelOnly,Bell_pepper_512,5,7.999333211167122,0.004963675969632596,0.00022887568858011298,-0.004394306136784185,0.0031956192649989653,99.60734049479167,33.41730304792815
PixelOnly,Bell_pepper_512,6,7.999291550154126,-0.003086173049792463,0.00260515823003517,-0.0012935338387406903,0.0023282883728561075,99.60645039876302,33.45737930995966
PixelOnly,Bell_pepper_512,7,7.999312079297827,-0.0030456448239170562,0.007271501764387736,0.013216552271353356,0.007844566286552716,99.61395263671875,33.4812169293173
PixelOnly,Bell_pepper_512,8,7.999342399949893,-0.012520488846248658,0.0034148330122073835,-0.0028576419429995393,0.00626432126715186,99.59526062011719,33.47315919165518
PixelOnly,Bell_pepper_512,9,7.999299670684838,0.0029414281936338007,0.0062528356445547386,-0.006292694114850541,0.005162319317679694,99.60352579752605,33.48038816763685
PixelOnly,Bell_pepper_512,10,7.999291323966733,0.0029969356239955224,-0.008728230572202808,-0.001206253179243601,0.0043104731251473105,99.61268107096355,33.4506205639808
PixelOnly,Bird_512,1,7.999284413085654,-0.005767082404043249,-0.0031350529959869593,-0.0016890251325852694,0.0035303868442051593,99.60034688313802,33.45299365473729
PixelOnly,Bird_512,2,7.999240815990902,-0.006724121861471491,0.0003148679276223764,0.008468505727115926,0.005169165172069931,99.61013793945312,33.480866874744684
PixelOnly,Bird_512,3,7.999263400328831,0.0015986675663667805,0.0039313939840278,-0.00030652195965758406,0.001945527836684055,99.61166381835938,33.4666512682547
PixelOnly,Bird_512,4,7.999359904784872,-0.008345417053994069,0.012723673503672492,0.0063467267008581645,0.009138605752841575,99.61026509602864,33.459546456929125
PixelOnly,Bird_512,5,7.999350543047497,-0.0029102370103519597,0.004109804817870455,0.006442302161569081,0.004487447996597165,99.61039225260417,33.47715240677977
PixelOnly,Bird_512,6,7.999283357633718,-0.004049510458372321,-0.0047870218622014914,0.003365488346967264,0.0040673402225136915,99.5989481608073,33.43036078160105
PixelOnly,Bird_512,7,7.999274978565232,-0.011060199906102844,-0.00594031291754888,-0.001128444170406307,0.006042985664686011,99.61573282877605,33.461392969866985
PixelOnly,Bird_512,8,7.999259592117739,-0.0018376416747604817,0.008910637196518722,0.0005715528306069565,0.003773277233962053,99.60683186848958,33.43769198149638
PixelOnly,Bird_512,9,7.999220558722751,-0.003510103709943956,0.003197585928020896,-0.0010899669585069135,0.002599218865490589,99.61471557617188,33.44346738329121
PixelOnly,Bird_512,10,7.999241784095705,0.006425772194008922,0.00543369559945031,0.0009142135988067113,0.004257893797421981,99.60670471191406,33.44669815761591
PixelOnly,Mountain_512,1,7.99921986110644,0.005034320251680325,-0.0020058622999823516,-0.007354826010433416,0.004798336187365364,99.61496988932292,33.48415449553844
PixelOnly,Mountain_512,2,7.999266730253255,-0.01074169556501906,-0.0028856893279998997,0.001987424009242378,0.005204936300753779,99.61280822753906,33.49468655056423
PixelOnly,Mountain_512,3,7.999198412516987,-0.010424566129127406,0.007454258893984549,0.005528146292476087,0.0078023237718626804,99.59882100423177,33.45037622389451
PixelOnly,Mountain_512,4,7.999209394703577,0.002182312104465206,0.001158193588937986,0.003822309341444004,0.002387605011615732,99.60581461588542,33.40832978292229
PixelOnly,Mountain_512,5,7.999305347938908,0.0035724903026868177,0.010502475886595461,-0.003501150879316689,0.005858705689532989,99.61280822753906,33.4997304280599
PixelOnly,Mountain_512,6,7.999285964265525,0.020967811468663094,0.0035128444340558336,0.0029823547895771723,0.009154336897432032,99.61013793945312,33.4316328460095
PixelOnly,Mountain_512,7,7.9993065349935195,0.002337175497392436,-0.009958832482441176,-0.0018923478630295703,0.0047294519476210614,99.60823059082031,33.45585841758579
PixelOnly,Mountain_512,8,7.999291837109465,0.005895176264837883,0.00580881759997534,0.010384837320136071,0.007362943728316432,99.58279927571614,33.462406233245254
PixelOnly,Mountain_512,9,7.999338767272875,-0.007058662882612185,0.0011625667795948321,-0.0016789542096382851,0.003300061290615101,99.60861206054688,33.483350167866625
PixelOnly,Mountain_512,10,7.999314579670851,-0.004702854692836719,0.00803741593167426,-0.0001784186834520174,0.004306229769320998,99.60797627766927,33.51165871215022
