image,keyIdx,entropy,rH,rV,rD,r_avg
barbara_512x512,7,7.99933825979999,-0.007029933348396263,0.012505945552635359,0.0077247654805549905,0.00908688146052887
barbara_512x512,8,7.999323203624644,0.003065054993215587,0.006530369968726856,-0.004103659179586126,0.004566361380509523
barbara_512x512,9,7.999305878598392,-0.004273707896006788,-0.00045147575555625044,0.01525685267694551,0.006660678776169516
barbara_512x512,10,7.99926339447175,0.0013948806227272476,-0.014658882063198405,-0.002458758537850249,0.006170840407925301
house,1,7.999257899016745,-0.008683887591399514,0.0002680510190287702,-0.005777544080705373,0.004909827563711219
house,2,7.999222310427181,0.0010415502879219634,0.010181693339038346,-0.0024661061878341957,0.0045631166049315015
house,3,7.999294097081275,0.004808814375275816,0.0023968751160604756,0.0032244580461787448,0.0034767158458383456
house,4,7.99925027709694,-0.004323238470546111,-0.004427682531931056,0.00237070399112988,0.0037072083312023486
house,5,7.999294567953432,0.005883882493756918,-0.003073463775098023,0.017687667766555837,0.008881671345136927
house,6,7.999304014126117,-0.009540754853205638,-0.0007092433228464558,0.008662484545352123,0.0063041609071347385
house,7,7.999292417637808,-0.003905295786338392,-0.002833504861692759,-8.378648091421706e-05,0.002274195709648456
house,8,7.999264971203434,-0.006293666576739843,-0.00064270401674959,0.0057762689749215855,0.004237546522803673
house,9,7.9993169043230585,-0.003694200186179044,-0.0026565826288009204,0.00624714639759314,0.004199309737524369
house,10,7.9992254752160035,0.004264242782451572,-0.004027837444405651,0.0026557207126461,0.0036492669798344414
lena,1,7.999235257480336,0.0030617622186282062,-0.0021563764839987076,-0.0029009793672957625,0.0027063726899742256
lena,2,7.99932166145429,-0.007605865763758902,0.00032921974944889856,-0.008884005692521907,0.005606363735243235
lena,3,7.99934860688213,0.006201072124221191,-0.00419445819588466,-0.00031951995639656236,0.0035716834255008043
lena,4,7.9993299373901126,0.007479030107802337,0.0017941335638955672,-0.005184893822942893,0.004819352498213599
lena,5,7.999232125935843,0.006768074726224736,-0.004829158232133081,0.005791425602972549,0.005796219520443455
lena,6,7.999267472846284,-0.0054281132377072055,0.005087249988603605,-0.011099715882136813,0.007205026369482541
lena,7,7.999350978708075,0.0058742789526087915,-0.01194412406762736,0.001860290183114929,0.006559564401117028
lena,8,7.999275583436596,0.001757003399564397,0.00762028788541981,0.0069611594862372,0.005446150257073803
lena,9,7.999332498449736,-0.006855087359798298,0.0036832312500140896,0.008278340450659527,0.006272219686823972
lena,10,7.999312961130831,-0.011918998435846387,-0.004917538337334903,0.0016784781910864496,0.006171671654755913
monarch_512x512,1,7.999260976051475,-0.0011192827125669654,-0.0015663718408783103,-3.702652509306008e-05,0.0009075603595127786
monarch_512x512,2,7.999290655976366,0.0001299768275559637,-0.002985523842712894,0.001426447180278996,0.0015139826168492846
monarch_512x512,3,7.999345310354729,0.002577522908774516,0.008860863560507425,-2.7140493971903174e-05,0.003821842321084615
monarch_512x512,4,7.999245372743961,-0.00015360268007163363,-0.00023224193149725338,0.0043041513602289925,0.0015633319905992932
monarch_512x512,5,7.999308786027811,0.0014205824375178675,-0.0015670699502399563,0.008738126993272357,0.003908593127010061
monarch_512x512,6,7.999329948345692,0.002778932583288809,0.011824968243051936,0.010076822573385236,0.00822690779990866
monarch_512x512,7,7.99930132992128,0.004339334975667836,-0.008549967412000944,-0.006060691383970526,0.006316664590546435
