image,run,encSec,decSec
tiffany.bmp,7,0.296199659,0.295326733
tiffany.bmp,8,0.344936698,0.301161822
tiffany.bmp,9,0.291861338,0.303761252
tiffany.bmp,10,0.299164982,0.299060471
tiffany.bmp,11,0.295747822,0.294487705
tiffany.bmp,12,0.295286415,0.302976228
tiffany.bmp,13,0.295377471,0.290947311
tiffany.bmp,14,0.295074926,0.296027263
tiffany.bmp,15,0.291320525,0.298174651
tiffany.bmp,16,0.29531507,0.296096452
tiffany.bmp,17,0.295937491,0.291656543
tiffany.bmp,18,0.289348682,0.290970647
tiffany.bmp,19,0.285645501,0.285747609
