image,rd,keyIdx,encSec,entropy,rH,rV,rD,r_avg,npcr,uaci
Bird_512,2,4,0.177990661,7.999304788405712,0.0011055307801971774,-0.002960247728082029,0.0022596564414113893,0.0021084783165635323,99.59462483723958,33.487239663117855
Bird_512,2,5,0.182617516,7.999338859143225,-0.010014607015636098,0.0040937982153512855,-0.008668911782188619,0.007592439004392,99.6167500813802,33.4361670998966
Bird_512,2,6,0.162799951,7.999330736616223,-0.0014481870286135838,-0.001333085328768883,0.009737304798811427,0.004172859052064631,99.61344401041667,33.43497631596585
Bird_512,2,7,0.162090367,7.999351496800586,-0.0033581784921812552,-0.0032795309435467014,0.007925019618276484,0.00485424301800148,99.60899353027344,33.46761366900276
Bird_512,2,8,0.176209952,7.9992764102335565,0.007934212908203168,-0.0001249849466730886,-0.01716220359632551,0.008407133817067257,99.59780375162761,33.4167894350937
Bird_512,2,9,0.18188022,7.999368409075349,0.002392304383233836,0.01090442182288412,-0.005989739846500818,0.006428822017539591,99.59805806477864,33.446458305408754
Bird_512,2,10,0.186601738,7.999335445978677,0.0035160201412755055,0.0012744636162125272,-0.0058767107805438425,0.003555731512677291,99.60085550944011,33.4447908089831
Bird_512,3,1,0.235745833,7.999302203155108,0.001080725080158276,0.0022480451448053007,-0.004200832967374814,0.0025098677307794632,99.6063232421875,33.44409269445082
Bird_512,3,2,0.231286374,7.999298166327658,0.00373941710190035,0.0012774718103630313,0.004507494372999476,0.003174794428420952,99.61051940917969,33.48190806270425
Bird_512,3,3,0.229497966,7.9993113233146245,-0.0034901480516709112,-0.004510503690314248,-8.942643536616016e-05,0.0026966927257837735,99.62005615234375,33.51981568180658
Bird_512,3,4,0.23453312,7.999303276027175,-0.00404278592817314,-0.005297262714709092,0.003304526249184864,0.004214858297355698,99.60403442382812,33.44225615457771
Bird_512,3,5,0.228631567,7.999272366004803,0.010859565362092536,-0.0008925977644917531,-0.0031035590707267032,0.004951907399103664,99.61128234863281,33.46105438431883
Bird_512,3,6,0.235414571,7.999285348804769,0.010766408731903423,-0.008898309123525553,0.008905275543123746,0.009523331132850907,99.6167500813802,33.44786550484452
Bird_512,3,7,0.228158401,7.999244868118651,-0.008100317558769195,-0.010834153422207287,-0.005294287223223158,0.008076252734733213,99.60378011067708,33.454669129614736
Bird_512,3,8,0.226825621,7.999291958033322,-0.002550149148436326,0.003971828780214626,0.0066015749915029585,0.004374517640051303,99.61128234863281,33.426730586033244
Bird_512,3,9,0.226198133,7.999267761321003,-0.01357162989449615,-0.00018261739727132355,-0.0005191623388733207,0.004757803210213598,99.60250854492188,33.45593670614405
Bird_512,3,10,0.229791945,7.999279237435111,0.0009366692559391031,0.004754207320161731,0.0008304891210868717,0.0021737885657292354,99.61001078287761,33.49069483139936
Bird_512,4,1,0.283023129,7.999301658232246,0.0016344340860012033,0.0030631661148750947,0.0010628800941847045,0.0019201600983536676,99.6050516764323,33.46579707525914
Bird_512,4,2,0.286673142,7.999271893050353,0.0075472257991279984,-0.00680730339706749,-0.005086233439700624,0.006480254211965371,99.60962931315105,33.43673207401451
Bird_512,4,3,0.282265193,7.999276081834778,0.00024236561576083658,-0.003336656306800146,-0.0011603430233705437,0.0015797883153105088,99.609375,33.4533611621732
Bird_512,4,4,0.290133263,7.999302546445198,-0.0023247861507944647,-0.0009355851056327296,-0.00032690971400578154,0.0011957603234776586,99.60441589355469,33.474562401865036
Bird_512,4,5,0.295049158,7.999257338298874,-0.004568447664634326,0.0006455302187504131,0.008500447044918624,0.004571474976101121,99.61128234863281,33.457659054425804
Bird_512,4,6,0.277220702,7.9993296775601905,-0.0055983771107680725,0.0008868038549171321,0.0034932284544763625,0.003326136473387189,99.62183634440105,33.53108574362363
Bird_512,4,7,0.286843555,7.999279186421887,0.011742619526980387,0.005426187691207875,0.0005357837403331406,0.005901530319507134,99.60594177246094,33.40401244319342
Bird_512,4,8,0.285089966,7.9993176725263595,0.0017375580473782612,0.0035588992023256826,-0.00044313428597472885,0.0019131971785595577,99.60734049479167,33.45743715373519
Bird_512,4,9,0.288312415,7.99926342015608,-0.0021043191953719993,-0.002837695222429333,0.002595699741438131,0.0025125713864131544,99.60975646972656,33.47671359193092
Bird_512,4,10,0.283374354,7.999294517135469,0.0022907243627889244,0.00431114417369098,-0.003318916938644467,0.003306928491708124,99.6228535970052,33.472676495321444
Mountain_512,1,1,0.127354955,7.999199107328877,0.004055161933281773,0.004137517373116892,-0.0010350568732630622,0.0030759120598872424,97.35081990559895,32.698088502572254
Mountain_512,1,2,0.124098782,7.9993215274107605,0.006080889894413614,-0.0014237328603774076,-0.007353302945161608,0.00495264189998421,98.54151407877605,33.09786378947738
Mountain_512,1,3,0.124387031,7.999314844779863,0.012487648098820617,0.0024881957072945757,0.001520961956162475,0.005498935254092556,63.9306386311849,21.46367590411816
