x,y,posMix,collisionProbabilityPct
197,71,63,0.8880615234375
247,71,187,0.8880615234375
297,71,47,0.8880615234375
347,71,99,0.8880615234375
397,71,127,0.8880615234375
447,71,27,0.8880615234375
497,71,47,0.8880615234375
35,72,250,0.7049560546875
85,72,172,0.6988525390625
135,72,150,0.7049560546875
185,72,8,0.6988525390625
235,72,114,0.7049560546875
285,72,100,0.6988525390625
335,72,222,0.7049560546875
385,72,208,0.6988525390625
435,72,138,0.7049560546875
485,72,124,0.6988525390625
23,73,239,0.8880615234375
73,73,135,0.8880615234375
123,73,231,0.8880615234375
173,73,79,0.8880615234375
223,73,255,0.8880615234375
273,73,39,0.8880615234375
323,73,39,0.8880615234375
373,73,223,0.8880615234375
423,73,111,0.8880615234375
473,73,71,0.8880615234375
11,74,50,0.7049560546875
61,74,84,0.6988525390625
111,74,126,0.7049560546875
161,74,168,0.6988525390625
211,74,90,0.7049560546875
261,74,156,0.6988525390625
311,74,102,0.7049560546875
361,74,48,0.6988525390625
411,74,66,0.7049560546875
461,74,68,0.6988525390625
511,74,206,0.7049560546875
49,75,23,0.8880615234375
99,75,235,0.8880615234375
149,75,71,0.8880615234375
199,75,131,0.8880615234375
249,75,71,0.8880615234375
299,75,139,0.8880615234375
349,75,215,0.8880615234375
399,75,83,0.8880615234375
449,75,23,0.8880615234375
499,75,11,0.8880615234375
37,76,172,0.6988525390625
87,76,62,0.7049560546875
137,76,48,0.6988525390625
187,76,178,0.7049560546875
237,76,52,0.6988525390625
287,76,134,0.7049560546875
337,76,200,0.6988525390625
387,76,138,0.7049560546875
437,76,188,0.6988525390625
487,76,142,0.7049560546875
25,77,79,0.8880615234375
75,77,87,0.8880615234375
125,77,55,0.8880615234375
175,77,79,0.8880615234375
225,77,223,0.8880615234375
275,77,215,0.8880615234375
325,77,151,0.8880615234375
375,77,31,0.8880615234375
425,77,207,0.8880615234375
475,77,55,0.8880615234375
13,78,20,0.6988525390625
63,78,86,0.7049560546875
113,78,80,0.6988525390625
163,78,122,0.7049560546875
213,78,140,0.6988525390625
263,78,14,0.7049560546875
313,78,8,0.6988525390625
363,78,242,0.7049560546875
413,78,100,0.6988525390625
463,78,70,0.7049560546875
1,79,31,0.8880615234375
51,79,67,0.8880615234375
101,79,15,0.8880615234375
151,79,219,0.8880615234375
201,79,95,0.8880615234375
251,79,147,0.8880615234375
301,79,143,0.8880615234375
351,79,59,0.8880615234375
401,79,95,0.8880615234375
451,79,99,0.8880615234375
501,79,239,0.8880615234375
39,80,246,0.7049560546875
89,80,200,0.6988525390625
139,80,18,0.7049560546875
189,80,180,0.6988525390625
239,80,14,0.7049560546875
289,80,64,0.6988525390625
339,80,26,0.7049560546875
389,80,28,0.6988525390625
439,80,102,0.7049560546875
489,80,184,0.6988525390625
27,81,119,0.8880615234375
77,81,127,0.8880615234375
127,81,255,0.8880615234375
177,81,7,0.8880615234375
227,81,87,0.8880615234375
277,81,47,0.8880615234375
327,81,47,0.8880615234375
377,81,103,0.8880615234375
427,81,215,0.8880615234375
477,81,31,0.8880615234375
15,82,238,0.7049560546875
65,82,168,0.6988525390625
115,82,170,0.7049560546875
165,82,220,0.6988525390625
215,82,70,0.7049560546875
265,82,96,0.6988525390625
315,82,2,0.7049560546875
365,82,212,0.6988525390625
415,82,62,0.7049560546875
465,82,152,0.6988525390625
3,83,139,0.8880615234375
53,83,231,0.8880615234375
103,83,51,0.8880615234375
153,83,199,0.8880615234375
